ward,item,location,cost,year,category
27,Street Speed Hump Menu,ON N TROY ST FROM W OHIO ST  (600 N) TO W CHICAGO AVE  (800 N),9400,2022,Street Redesign
27,Street Speed Hump Menu,ON S WASHTENAW AVE FROM W GLADYS AVE  (330 S) TO W VAN BUREN ST  (400 S),2350,2022,Street Redesign
27,Street Speed Hump Menu,ON S WASHTENAW AVE FROM W JACKSON BLVD  (300 S) TO W GLADYS AVE  (330 S),2350,2022,Street Redesign
27,Street Speed Hump Menu,ON W GLADYS AVE FROM S WASHTENAW AVE  (2700 W) TO S CALIFORNIA AVE  (2800 W),4700,2022,Street Redesign
27,Street Speed Hump Menu,ON W MAYPOLE AVE FROM N ASHLAND AVE  (1600 W) TO N PAULINA ST  (1700 W),4700,2022,Street Redesign
27,Street Speed Hump Menu,ON W OAK ST FROM N HUDSON AVE  (433 W) TO N CLEVELAND AVE  (500 W),2350,2022,Street Redesign
27,Street Speed Hump Menu,ON W OHIO ST FROM N KEDZIE AVE  (3200 W) TO N HOMAN AVE  (3400 W),9400,2022,Street Redesign
27,Street Speed Hump Replacement,ON N AVERS AVE FROM W IOWA ST  (900 N) TO W AUGUSTA BLVD  (1000 N),0,2022,Street Resurfacing
27,Street Speed Hump Replacement,ON W FULTON BLVD FROM N SACRAMENTO BLVD  (3000 W) TO N KEDZIE AVE  (3200 W),0,2022,Street Resurfacing
28,Alley Resurfacing Menu,W WILCOX ST &  S PULASKI RD&S SPRINGFIELD AVE &  W ADAMS ST,20766.88,2022,Alleys
28,Alley Speed Hump Menu,W FILLMORE ST &  S LOOMIS ST&S LAFLIN ST &  W ROOSEVELT RD,2100,2022,Alleys
28,Alley Speed Hump Menu,W FILLMORE ST &  S THROOP ST&S LOOMIS ST &  W GRENSHAW ST,1400,2022,Alleys
28,Alley Speed Hump Menu,W GLADYS AVE &  S HAMLIN BLVD&S SPRINGFIELD AVE &  W VAN BUREN ST,2100,2022,Alleys
28,Alley Speed Hump Menu,W TAYLOR ST &  S LOOMIS ST&S LAFLIN ST &  W FILLMORE ST,1400,2022,Alleys
